,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
385,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,12.000000,3.000000,363.000000,11.000000,0.000000,0.000000,25.000000,800.000000,0.041667,0.076389,0.069444,1.409722,14.388889,0.014669
386,5,0,0.000000,0.000000,0.000000,0.000000,0.000091,2.400000,3.600000,23.480000,0.000000,0.000000,0.000000,15.040000,45.240000,0.014872,0.227678,0.182490,2.279774,39.815029,0.020513
387,7,0,0.000000,0.000000,0.000000,0.000000,0.000091,4.469388,39.428571,18.020408,0.047449,0.151172,0.489796,286.122449,34.367347,0.002444,0.117121,0.040392,1.054440,37.880943,0.014593
388,10,6,0.001479,0.000199,0.028390,0.037300,0.000859,5.120000,38.270000,10.970000,0.021361,0.135439,0.640000,255.330000,23.510000,0.000846,0.034965,0.027186,0.320509,9.194161,0.002839
389,3,4,0.000986,0.000001,0.023719,0.010785,0.000603,7.666667,92.555556,40.222222,0.138889,0.743601,2.666667,496.111111,87.888889,0.003730,0.174101,0.174112,2.171741,49.071440,0.010255
390,0,2,0.000493,0.000000,0.023583,0.005404,0.000340,,,,,,,,,,,,,,
391,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,15.444444,25.777778,42.111111,0.176543,0.762182,2.777778,146.111111,92.666667,0.001101,0.064765,0.010889,0.365660,7.894041,0.005850
392,5,0,0.000000,0.000000,0.000000,0.000000,0.000091,4.520000,2.240000,15.080000,0.068524,0.342825,1.400000,17.080000,35.760000,0.003264,0.092215,0.008234,0.254845,4.579197,0.006978
393,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,24.000000,16.750000,28.750000,2.750000,0.000000,0.000000,150.000000,59.250000,0.016540,0.484484,0.006853,1.009573,12.227224,0.067706
394,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,8.375000,4.875000,11.937500,0.102083,0.503256,2.125000,19.875000,29.125000,0.001366,0.091625,0.006201,0.115161,4.822108,0.007219
395,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.312500,8.750000,24.937500,0.056250,0.230874,0.875000,44.875000,44.250000,0.012708,0.946180,0.217693,4.171910,48.922875,0.047459
396,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,13.222222,15.777778,52.444444,0.074074,0.488474,1.666667,87.333333,132.555556,0.002463,0.211211,0.022189,0.730449,13.672426,0.009293
397,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,13.500000,126.000000,64.500000,0.261111,0.849146,3.500000,824.750000,167.500000,0.002552,0.167145,0.165185,2.392229,51.429135,0.009339
398,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,13.375000,11.125000,16.812500,0.084375,0.406615,2.125000,77.250000,36.937500,0.008410,0.161601,0.065896,1.602318,32.292544,0.021842
399,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.888889,12.333333,38.000000,0.138889,0.299361,0.888889,74.444444,91.111111,0.005470,0.242950,0.086077,0.669882,41.620931,0.013681
400,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,11.250000,40.750000,84.000000,0.169643,0.601008,2.750000,182.750000,181.250000,0.001959,0.212282,0.063035,1.069313,26.565680,0.014363
401,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.500000,3.250000,44.750000,0.133333,1.237197,6.250000,23.250000,95.750000,0.003644,0.360828,0.012723,0.519406,11.577764,0.027913
402,3,1,0.000246,0.000000,0.022120,0.002712,0.000257,26.111111,168.444444,141.777778,0.033333,0.380493,2.222222,1150.777778,306.333333,0.016338,0.798288,0.797785,10.505975,229.519413,0.059328
403,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,8.111111,8.777778,96.222222,0.033333,0.260496,1.111111,41.777778,205.111111,0.016016,0.725899,0.155288,2.739009,47.173580,0.095723
404,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,4.777778,7.222222,30.666667,0.125000,0.640336,2.000000,40.777778,70.111111,0.047052,0.723265,0.351746,7.450703,75.889705,0.055685
405,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,2.312500,11.562500,59.562500,0.098437,0.326974,1.062500,66.000000,180.437500,0.012439,0.639535,0.283861,5.038467,66.160196,0.039360
406,9,3,0.000739,0.000000,0.000739,0.000000,0.001144,4.271605,6.703704,19.481481,0.037365,0.201789,0.777778,44.370370,43.037037,0.001836,0.061926,0.009675,0.318257,7.644363,0.008274
407,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,20.000000,29.250000,46.000000,2.825000,0.517547,2.500000,233.250000,128.250000,0.001244,0.073220,0.024906,0.465074,13.768917,0.004343
408,3,1,0.000246,0.000000,0.000683,0.000000,0.000337,4.777778,4.888889,20.777778,1.284848,0.434486,2.333333,19.222222,44.666667,0.012754,1.128497,0.336913,3.023851,113.336602,0.096705
409,3,1,0.000246,0.000000,0.000246,0.000000,0.000606,10.666667,36.666667,65.333333,0.155556,0.463893,1.111111,271.000000,146.555556,0.001676,0.131742,0.120646,1.811670,33.321693,0.007408
410,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,13.750000,8.000000,33.500000,0.093750,0.619098,3.250000,31.500000,89.250000,0.002220,0.093620,0.010718,0.566689,10.980290,0.005520
411,19,11,0.002711,0.000475,0.029284,0.143095,0.001710,1.346260,3.282548,5.121884,0.016097,0.077676,0.290859,16.188366,10.523546,0.001732,0.040564,0.010249,0.326927,9.525533,0.005622
