,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
0,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.687500,7.687500,10.062500,0.114583,0.325747,1.250000,50.187500,23.750000,0.008785,0.244059,0.007431,0.472573,11.716530,0.036744
1,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,13.000000,9.000000,44.000000,0.200000,1.091776,10.000000,42.000000,155.000000,0.017045,0.449704,0.035503,1.739645,12.230769,0.072337
2,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.750000,7.750000,18.750000,2.875000,0.368112,1.500000,61.250000,47.250000,0.002110,0.143302,0.014444,0.446914,17.555772,0.009625
3,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,5.500000,1.500000,4.500000,0.071429,0.734565,4.000000,16.750000,12.500000,0.004380,0.287309,0.034758,1.213249,22.458785,0.031582
4,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.000000,3.000000,8.000000,0.000000,0.000000,0.000000,25.000000,35.000000,0.002666,0.728395,0.160494,1.395062,20.913580,0.014763
5,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,17.000000,1.000000,9.000000,0.500000,1.718699,6.000000,12.000000,29.000000,0.010150,0.183391,0.038062,0.792388,9.882353,0.023264
6,4,1,0.000246,0.000000,0.000246,0.000000,0.000606,4.375000,1.750000,4.250000,0.739583,0.363934,1.187500,7.625000,8.812500,0.003142,0.205895,0.073261,0.332184,10.134442,0.012111
7,1,2,0.000493,0.000068,0.014794,0.000001,0.000620,4.000000,8.000000,2.000000,0.000000,0.535058,3.000000,38.000000,3.000000,0.069940,1.375000,0.312500,2.875000,95.312500,0.190579
8,6,0,0.000000,0.000000,0.000000,0.000000,0.000091,7.472222,11.583333,14.500000,0.078704,0.345216,1.444444,79.666667,43.500000,0.003088,0.111078,0.115322,0.557631,12.211778,0.004927
9,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.750000,5.500000,2.500000,0.035714,0.425343,3.000000,36.500000,23.500000,0.001749,0.129630,0.034529,0.415316,13.332176,0.001185
10,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,15.000000,9.000000,4.000000,0.000000,0.000000,0.000000,30.000000,21.000000,0.000444,0.497778,0.031111,1.195556,13.724444,0.003575
11,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,3.000000,1.750000,11.500000,0.275000,0.673888,2.250000,13.250000,22.000000,0.055477,2.644628,3.039256,23.107438,856.950413,0.170240
12,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,36.000000,2.000000,58.000000,11.000000,0.000000,0.000000,26.000000,124.000000,0.009799,0.327160,0.003086,0.604938,4.108025,0.060530
13,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,14.750000,12.750000,10.750000,0.208333,0.963282,3.750000,104.000000,17.750000,0.003206,0.228288,0.038910,0.584736,13.445746,0.020599
14,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,0.750000,1.750000,1.250000,0.000000,0.081638,1.000000,8.250000,3.250000,0.000000,2.562500,1.687500,8.250000,264.687500,0.081324
