,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
0,3,3,0.000739,0.000000,0.028267,0.071187,0.000487,3.888889,12.333333,68.666667,0.086420,0.402361,1.333333,63.666667,155.777778,0.003036,0.660567,0.235198,4.775743,98.924932,0.033748
1,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,11.750000,10.687500,21.500000,0.109722,0.414243,1.812500,55.000000,60.625000,0.000206,0.033673,0.004385,0.113471,1.858743,0.000876
2,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,2.777778,2.222222,5.666667,0.098413,0.447646,2.111111,16.111111,10.777778,0.035157,0.956265,0.208025,3.459969,81.270926,0.150045
3,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.250000,4.500000,29.250000,0.156250,0.780072,3.750000,25.750000,68.000000,0.003604,0.285697,0.043361,0.810824,37.324705,0.010718
4,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,18.250000,79.750000,72.250000,0.027778,0.364069,2.250000,399.000000,154.250000,0.004297,0.150563,0.076938,0.901232,32.400758,0.012325
5,2,1,0.000246,0.000000,0.000246,0.000000,0.000606,15.250000,30.750000,50.250000,0.137500,0.918525,5.500000,266.500000,153.750000,0.060829,0.901429,0.015154,2.321190,38.246930,0.173699
6,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,14.750000,3.500000,21.000000,0.232143,0.985116,3.750000,26.750000,44.500000,0.009752,0.835815,0.003386,1.701408,38.734765,0.099118
7,5,0,0.000000,0.000000,0.000000,0.000000,0.000091,15.000000,31.400000,31.280000,0.041524,0.264932,1.200000,184.720000,90.280000,0.000575,0.035072,0.007736,0.138797,2.488470,0.001503
8,6,1,0.000246,0.000000,0.000246,0.000000,0.000606,4.500000,5.388889,12.888889,0.066920,0.326021,1.111111,26.611111,26.638889,0.003864,0.126871,0.016600,0.313295,9.379964,0.016666
9,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,11.000000,29.250000,115.750000,0.375000,0.906002,2.500000,148.500000,311.500000,0.028115,2.284072,0.016225,7.008653,130.417929,0.153558
10,12,13,0.003204,0.002965,0.028349,0.030909,0.002145,12.701389,39.118056,12.569444,0.031366,0.099756,0.472222,320.583333,38.854167,0.000159,0.013831,0.020997,0.569430,7.371060,0.000870
11,3,10,0.002465,0.003229,0.033218,0.151699,0.001441,12.333333,235.111111,25.666667,0.037037,0.264052,1.666667,2028.888889,64.000000,0.000152,0.628330,1.029266,22.140022,742.633930,0.010911
12,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.250000,5.250000,24.500000,0.196429,0.679999,2.750000,16.250000,45.250000,0.012532,0.522480,0.053184,1.653359,26.659365,0.055243
13,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.187500,6.000000,47.687500,0.038194,0.265955,1.937500,35.937500,121.187500,0.005330,0.129954,0.030282,0.421680,8.144301,0.013406
14,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,7.500000,4.500000,86.500000,0.100000,0.557914,2.500000,33.000000,215.000000,0.005157,0.229036,0.053084,1.277335,23.002461,0.018668
15,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,4.750000,3.000000,23.500000,0.125000,0.190480,0.500000,15.500000,51.000000,0.021280,0.179938,0.146420,1.476420,24.909352,0.024457
16,9,2,0.000493,0.000000,0.000555,0.000000,0.000787,1.975309,1.691358,3.530864,0.143979,0.042320,0.222222,8.716049,7.691358,0.001959,0.088311,0.035891,0.814385,9.313045,0.006475
17,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,8.000000,14.250000,53.000000,0.216667,0.643710,2.750000,59.750000,124.000000,0.001069,0.234065,0.077927,0.846514,12.947298,0.010134
18,5,1,0.000246,0.000000,0.000246,0.000000,0.000606,4.160000,2.120000,6.520000,0.063000,0.224232,0.720000,10.640000,15.960000,0.001209,0.125021,0.165119,0.900584,12.876070,0.004464
19,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,10.000000,5.000000,48.000000,0.000000,0.502423,3.000000,23.000000,125.000000,0.003636,0.990000,0.070000,1.220000,23.400000,0.039121
20,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,26.500000,44.500000,44.500000,0.305556,1.075571,3.000000,352.000000,137.750000,0.001052,0.062302,0.033782,0.500402,9.245808,0.003450
21,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,11.444444,11.000000,12.111111,0.052778,0.293816,2.000000,70.111111,31.333333,0.002409,0.216609,0.034247,0.582940,6.214575,0.011162
22,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,5.000000,11.000000,33.000000,0.400000,1.614856,5.000000,27.000000,64.000000,0.028000,0.920000,0.640000,6.520000,134.680000,0.086951
23,2,1,0.000246,0.000000,0.017684,0.000032,0.000330,14.000000,14.250000,81.500000,0.200893,1.221495,3.750000,83.000000,232.500000,0.002558,0.160276,0.025172,0.428709,10.923541,0.012762
24,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,10.500000,7.500000,39.000000,0.125000,1.015106,4.250000,65.500000,105.000000,0.002266,0.227997,0.031569,0.565051,18.798788,0.017467
25,8,3,0.000739,0.000136,0.023654,0.007112,0.000809,2.953125,8.578125,13.468750,0.035863,0.166598,0.671875,39.515625,33.343750,0.003922,0.079571,0.014832,0.357922,7.439990,0.009010
