,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
373,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,3.000000,6.000000,15.000000,0.375000,2.042444,8.000000,37.000000,54.000000,0.092593,0.777778,2.333333,13.111111,161.666667,0.143384
374,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,14.000000,3.000000,32.000000,0.714286,2.861949,7.000000,26.000000,85.000000,0.007588,0.525510,0.045918,0.994898,14.061224,0.020019
375,15,6,0.001479,0.000552,0.030531,0.050584,0.001068,3.395556,4.795556,7.257778,0.019104,0.083185,0.351111,26.902222,18.551111,0.001210,0.043429,0.050195,0.257507,6.599877,0.003059
376,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.333333,1.666667,6.222222,0.055556,0.146164,0.888889,10.444444,30.000000,0.005468,0.141237,0.079653,0.334836,8.527667,0.012382
377,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,4.500000,1.000000,4.000000,0.100000,0.806369,4.250000,1.750000,9.750000,0.005489,0.108418,0.005102,1.213648,17.962691,0.018219
378,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,20.500000,29.000000,60.500000,2.875000,0.747162,2.500000,216.000000,123.750000,0.104486,3.031550,0.006401,4.141747,100.516575,0.591730
379,9,3,0.000739,0.000272,0.019088,0.000119,0.000837,2.419753,2.222222,8.283951,0.018656,0.098780,0.432099,9.580247,17.197531,0.002484,0.096577,0.055092,0.610360,19.005337,0.006205
380,2,1,0.000246,0.000000,0.025582,0.009284,0.000221,10.250000,5.250000,13.000000,0.226190,1.142171,4.000000,15.750000,23.000000,0.000995,2.060625,0.003281,2.078750,64.669531,0.096472
381,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,25.888889,7.000000,12.111111,0.147795,0.641481,2.333333,58.555556,34.666667,0.001934,0.192633,0.040449,0.262920,4.803268,0.006428
382,2,1,0.000246,0.000000,0.018115,0.000047,0.000324,5.750000,18.750000,16.750000,0.175000,1.218414,5.000000,120.750000,43.250000,0.066315,2.094525,0.074380,5.835744,68.037190,0.355791
